Tag,Deutschland,Frankreich,Spanien,USA,Italien,Russland,UK,Brasilien,Indien
158,215039,228576,309855,4998679,247537,949531,309796,3359570,2767253
159,216196,231314,314362,5044864,247832,954328,310696,3407354,2836925
160,216903,235207,314362,5094565,248074,959016,311461,3456652,2905825
161,217288,235208,314362,5141208,248229,963655,312574,3501975,2976432
162,218508,235237,322980,5197377,248419,968297,313392,3532411,3045263
163,219541,239349,326612,5248784,248803,972972,313402,3582263,3106348
164,220859,239355,329784,5312863,249204,977732,315581,3605783,3167000
165,222281,244088,337334,5361254,249756,982573,315600,3623000,3234474
166,223791,244096,342813,5403361,250103,987471,318190,3669995,3310234
167,224488,249655,342813,5444115,250566,992402,319232,3717156,3387500
168,225007,252965,342813,5482602,250825,997072,320343,3761391,3464375
169,226700,252965,359082,5529933,251237,1001965,321064,3804756,3543274
170,228120,256533,364196,5575323,251713,1006923,322177,3804962,3621245
171,229706,256534,370867,5623247,252235,1012474,323008,3862311,3691166
172,231292,256534,377906,5667124,252809,1017437,324203,3908272,3769523
173,233029,256534,386054,5703586,253438,1022228,325263,3950931,3853406
174,233861,271961,386054,5740000,253915,-,326595,3997865,3936747
175,234494,275562,386054,5779395,254235,-,327643,4041638,4023163
176,236122,280459,405436,5822927,254636,-,328620,4092486,4114385
177,237583,282414,412553,5869032,255278,-,329821,4123289,4204613
178,239010,285902,419849,5913876,256118,-,330967,4137521,-
179,240571,291374,429507,5960874,257065,-,332509,-,-
180,242126,297485,439286,5997164,258136,-,333806,-,-
181,242835,304947,439286,6031287,259345,-,334916,-,-
182,243305,304947,439286,6075652,260298,-,336668,-,-
183,244802,315813,462858,6114406,261174,-,338083,-,-
184,246015,318986,470973,6150998,262540,-,339415,-,-
185,247411,323968,479554,6201453,263949,-,340929,-,-
186,248840,331060,488513,6245396,265409,-,342708,-,-
187,250283,338220,489989,6277005,266853,-,344686,-,-
188,251058,347267,489989,-,268218,-,346513,-,-
189,251728,347267,489989,-,269214,-,349500,-,-
190,-,347268,-,-,270189,-,-,-,-
191,-,-,-,-,271515,-,-,-,-
192,-,-,-,-,272912,-,-,-,-
193,-,-,-,-,274644,-,-,-,-
194,-,-,-,-,276338,-,-,-,-
195,,-,-,-,-,277634,-,-,-,-
